Temperature (K),Energy (eV)
289.000000,-97.887313
261.000000,-97.885932
247.000000,-97.885128
250.000000,-97.884193
268.000000,-97.884627
298.000000,-97.885662
333.000000,-97.886810
366.000000,-97.887511
389.000000,-97.887995
400.000000,-97.887417
395.000000,-97.887262
378.000000,-97.886082
353.000000,-97.885467
325.000000,-97.883508
301.000000,-97.881413
284.000000,-97.879665
275.000000,-97.878256
276.000000,-97.877418
285.000000,-97.877484
301.000000,-97.877855
320.000000,-97.878656
339.000000,-97.878989
355.000000,-97.878857
365.000000,-97.879030
366.000000,-97.878909
358.000000,-97.879010
342.000000,-97.878537
322.000000,-97.876923
303.000000,-97.875414
290.000000,-97.873635
287.000000,-97.872653
299.000000,-97.871632
324.000000,-97.871516
360.000000,-97.871896
400.000000,-97.872307
437.000000,-97.871959
464.000000,-97.871450
474.000000,-97.871691
467.000000,-97.870060
442.000000,-97.868669
404.000000,-97.867805
359.000000,-97.866593
314.000000,-97.863828
276.000000,-97.861362
250.000000,-97.859470
240.000000,-97.858447
247.000000,-97.858375
273.000000,-97.858425
314.000000,-97.859781
365.000000,-97.861193
418.000000,-97.862126
464.000000,-97.862950
494.000000,-97.863737
503.000000,-97.863537
488.000000,-97.862447
454.000000,-97.860783
409.000000,-97.858837
363.000000,-97.856314
324.000000,-97.854151
299.000000,-97.853906
290.000000,-97.853455
296.000000,-97.853237
313.000000,-97.853905
336.000000,-97.854620
358.000000,-97.855070
377.000000,-97.855817
388.000000,-97.855138
391.000000,-97.854652
386.000000,-97.853472
375.000000,-97.852446
359.000000,-97.851535
342.000000,-97.849727
326.000000,-97.848536
313.000000,-97.846943
306.000000,-97.846226
304.000000,-97.845676
309.000000,-97.845349
317.000000,-97.844820
327.000000,-97.844451
336.000000,-97.844273
340.000000,-97.844197
338.000000,-97.843312
328.000000,-97.842702
311.000000,-97.841685
290.000000,-97.840751
270.000000,-97.839399
257.000000,-97.838839
253.000000,-97.838642
262.000000,-97.839087
283.000000,-97.839558
312.000000,-97.840232
344.000000,-97.840829
373.000000,-97.841469
394.000000,-97.841380
402.000000,-97.841248
397.000000,-97.839893
379.000000,-97.838153
354.000000,-97.837049
328.000000,-97.834927
304.000000,-97.833319
288.000000,-97.832113
283.000000,-97.831523
290.000000,-97.830936
309.000000,-97.831039
338.000000,-97.830885
375.000000,-97.830801
412.000000,-97.830356
447.000000,-97.830837
471.000000,-97.830884
483.000000,-97.830691
482.000000,-97.830220
471.000000,-97.829737
457.000000,-97.828529
445.000000,-97.826909
440.000000,-97.826402
440.000000,-97.825553
445.000000,-97.825490
448.000000,-97.824822
445.000000,-97.824202
432.000000,-97.823851
409.000000,-97.822369
378.000000,-97.821335
342.000000,-97.819482
303.000000,-97.818102
266.000000,-97.816813
233.000000,-97.815401
208.000000,-97.814129
192.000000,-97.813449
187.000000,-97.812826
193.000000,-97.813070
209.000000,-97.813315
235.000000,-97.813654
266.000000,-97.814371
300.000000,-97.815442
333.000000,-97.815683
364.000000,-97.815136
388.000000,-97.815233
407.000000,-97.814729
419.000000,-97.814000
424.000000,-97.813504
424.000000,-97.812377
418.000000,-97.812137
404.000000,-97.811393
385.000000,-97.809969
360.000000,-97.807964
333.000000,-97.806753
306.000000,-97.805510
285.000000,-97.803552
272.000000,-97.802789
270.000000,-97.802343
277.000000,-97.801976
291.000000,-97.801852
307.000000,-97.801802
322.000000,-97.801688
332.000000,-97.801712
338.000000,-97.800578
340.000000,-97.799796
340.000000,-97.798832
340.000000,-97.798333
345.000000,-97.798151
355.000000,-97.797484
370.000000,-97.798309
390.000000,-97.798632
411.000000,-97.799092
428.000000,-97.800620
438.000000,-97.801322
439.000000,-97.800972
428.000000,-97.801111
409.000000,-97.800598
388.000000,-97.798861
366.000000,-97.797528
352.000000,-97.796665
346.000000,-97.795786
348.000000,-97.796671
358.000000,-97.797482
370.000000,-97.798542
381.000000,-97.798959
385.000000,-97.799648
382.000000,-97.798939
371.000000,-97.798021
356.000000,-97.796938
340.000000,-97.794860
327.000000,-97.793379
319.000000,-97.792958
317.000000,-97.793480
322.000000,-97.793379
330.000000,-97.793705
341.000000,-97.794395
351.000000,-97.795374
359.000000,-97.796180
362.000000,-97.796427
361.000000,-97.796521
355.000000,-97.795357
347.000000,-97.794093
338.000000,-97.792976
333.000000,-97.791664
331.000000,-97.790263
335.000000,-97.789162
344.000000,-97.788913
355.000000,-97.788126
367.000000,-97.788752
378.000000,-97.788133
383.000000,-97.787122
380.000000,-97.787173
368.000000,-97.787184
348.000000,-97.786818
321.000000,-97.785464
290.000000,-97.783851
258.000000,-97.782698
228.000000,-97.781925
205.000000,-97.781212
189.000000,-97.780696
184.000000,-97.781317
192.000000,-97.781623
211.000000,-97.782463
242.000000,-97.783787
282.000000,-97.784927
330.000000,-97.786557
380.000000,-97.787942
428.000000,-97.788643
469.000000,-97.788817
500.000000,-97.787935
520.000000,-97.787275
529.000000,-97.786196
528.000000,-97.784821
519.000000,-97.782889
503.000000,-97.781222
481.000000,-97.780584
452.000000,-97.779382
419.000000,-97.779182
384.000000,-97.778168
348.000000,-97.777728
315.000000,-97.777019
288.000000,-97.777296
270.000000,-97.777086
262.000000,-97.776740
266.000000,-97.779773
281.000000,-97.780047
303.000000,-97.780442
330.000000,-97.781634
355.000000,-97.782474
376.000000,-97.783272
391.000000,-97.783788
398.000000,-97.783250
398.000000,-97.782866
395.000000,-97.782162
390.000000,-97.781271
385.000000,-97.780796
379.000000,-97.779774
373.000000,-97.778649
366.000000,-97.777539
355.000000,-97.776443
342.000000,-97.775296
328.000000,-97.774043
313.000000,-97.772729
300.000000,-97.771726
290.000000,-97.770694
284.000000,-97.770265
281.000000,-97.770200
282.000000,-97.769382
286.000000,-97.768438
291.000000,-97.767649
298.000000,-97.766800
305.000000,-97.765934
313.000000,-97.765075
322.000000,-97.764356
331.000000,-97.763380
340.000000,-97.762448
350.000000,-97.762026
357.000000,-97.761572
361.000000,-97.762030
360.000000,-97.762244
354.000000,-97.761928
343.000000,-97.761746
329.000000,-97.760947
314.000000,-97.760567
301.000000,-97.759897
295.000000,-97.759403
297.000000,-97.759135
309.000000,-97.759309
331.000000,-97.759592
362.000000,-97.759528
400.000000,-97.760384
439.000000,-97.760881
475.000000,-97.760547
502.000000,-97.760465
514.000000,-97.759629
