Temperature (K),Energy (eV)
653.000000,-27.071909
639.000000,-27.070521
620.000000,-27.069033
596.000000,-27.067610
575.000000,-27.065423
560.000000,-27.063372
559.000000,-27.061680
576.000000,-27.060600
612.000000,-27.061024
663.000000,-27.061875
724.000000,-27.062264
786.000000,-27.063151
842.000000,-27.063952
887.000000,-27.064659
919.000000,-27.064810
937.000000,-27.064993
941.000000,-27.064576
931.000000,-27.063697
910.000000,-27.063325
878.000000,-27.062788
837.000000,-27.061761
789.000000,-27.060875
736.000000,-27.059448
680.000000,-27.058043
625.000000,-27.056845
573.000000,-27.055593
527.000000,-27.054270
491.000000,-27.052933
466.000000,-27.051831
453.000000,-27.051179
451.000000,-27.050639
459.000000,-27.050213
476.000000,-27.050380
499.000000,-27.050293
526.000000,-27.050188
556.000000,-27.050170
587.000000,-27.049891
619.000000,-27.050180
650.000000,-27.049737
681.000000,-27.048572
709.000000,-27.047763
735.000000,-27.046841
757.000000,-27.045098
775.000000,-27.043889
788.000000,-27.043473
798.000000,-27.041694
804.000000,-27.040018
806.000000,-27.039247
804.000000,-27.041494
797.000000,-27.051663
790.000000,-27.055115
790.000000,-27.048036
786.000000,-27.047844
784.000000,-27.047056
787.000000,-27.040312
784.000000,-27.039942
779.000000,-27.039818
774.000000,-27.037953
765.000000,-27.037024
751.000000,-27.037006
734.000000,-27.036514
713.000000,-27.035665
687.000000,-27.034745
660.000000,-27.033936
630.000000,-27.033011
602.000000,-27.031843
576.000000,-27.030673
554.000000,-27.029438
537.000000,-27.028870
527.000000,-27.028536
523.000000,-27.027390
526.000000,-27.026505
531.000000,-27.026453
540.000000,-27.026544
550.000000,-27.026528
560.000000,-27.026524
570.000000,-27.026020
581.000000,-27.024958
594.000000,-27.023566
610.000000,-27.021843
631.000000,-27.020705
660.000000,-27.020164
698.000000,-27.019792
748.000000,-27.019332
807.000000,-27.018489
872.000000,-27.018286
938.000000,-27.018292
1000.000000,-27.018157
1053.000000,-27.018432
1089.000000,-27.018373
1108.000000,-27.017637
1105.000000,-27.016611
1082.000000,-27.015573
1040.000000,-27.014926
983.000000,-27.014695
914.000000,-27.016282
840.000000,-27.018772
765.000000,-27.017780
691.000000,-27.015392
621.000000,-27.015355
558.000000,-27.014206
502.000000,-27.013047
454.000000,-27.010634
415.000000,-27.008390
384.000000,-27.007104
363.000000,-27.005660
352.000000,-27.004206
351.000000,-27.003337
361.000000,-27.003160
379.000000,-27.003559
406.000000,-27.003837
441.000000,-27.003316
481.000000,-27.002709
526.000000,-27.002030
575.000000,-27.001166
628.000000,-27.000799
686.000000,-27.000740
752.000000,-27.000760
828.000000,-27.000087
914.000000,-26.999363
1004.000000,-27.000033
1093.000000,-27.001217
1171.000000,-27.000858
1225.000000,-27.000583
1244.000000,-27.000071
1221.000000,-26.998908
1158.000000,-26.997125
1061.000000,-26.993817
943.000000,-26.989981
822.000000,-26.986898
713.000000,-26.983061
628.000000,-26.980030
571.000000,-26.978994
540.000000,-26.978708
530.000000,-26.978687
532.000000,-26.978860
536.000000,-26.979216
538.000000,-26.979230
535.000000,-26.979174
525.000000,-26.979112
512.000000,-26.978758
497.000000,-26.978088
482.000000,-26.977108
471.000000,-26.975746
466.000000,-26.974353
468.000000,-26.972919
480.000000,-26.970732
501.000000,-26.968758
532.000000,-26.968371
574.000000,-26.968170
624.000000,-26.967643
681.000000,-26.966988
742.000000,-26.966518
802.000000,-26.966119
857.000000,-26.965743
904.000000,-26.963465
940.000000,-26.960761
960.000000,-26.958838
965.000000,-26.957054
956.000000,-26.955578
935.000000,-26.953570
904.000000,-26.951056
866.000000,-26.948865
822.000000,-26.947015
776.000000,-26.945376
729.000000,-26.944126
683.000000,-26.942450
639.000000,-26.941097
599.000000,-26.940531
564.000000,-26.939678
534.000000,-26.938369
511.000000,-26.937076
494.000000,-26.936034
483.000000,-26.935239
478.000000,-26.934785
479.000000,-26.934385
484.000000,-26.933890
494.000000,-26.933569
507.000000,-26.933175
525.000000,-26.932392
545.000000,-26.931976
569.000000,-26.932457
597.000000,-26.933016
630.000000,-26.932465
670.000000,-26.931682
714.000000,-26.930749
765.000000,-26.927999
819.000000,-26.925727
875.000000,-26.925183
929.000000,-26.925613
981.000000,-26.925867
1028.000000,-26.925120
1065.000000,-26.923933
1088.000000,-26.923326
1096.000000,-26.922565
1087.000000,-26.921605
1059.000000,-26.920357
1015.000000,-26.918956
956.000000,-26.917420
887.000000,-26.915593
811.000000,-26.914473
734.000000,-26.913707
661.000000,-26.912294
597.000000,-26.910478
546.000000,-26.907861
508.000000,-26.905807
483.000000,-26.904678
470.000000,-26.903675
467.000000,-26.902457
469.000000,-26.901318
474.000000,-26.901054
479.000000,-26.900590
484.000000,-26.900173
488.000000,-26.899736
493.000000,-26.899019
498.000000,-26.898331
507.000000,-26.897574
518.000000,-26.897134
534.000000,-26.896805
555.000000,-26.896247
581.000000,-26.895985
612.000000,-26.895776
647.000000,-26.895714
686.000000,-26.895422
727.000000,-26.894784
769.000000,-26.894495
808.000000,-26.893792
842.000000,-26.893242
869.000000,-26.893191
888.000000,-26.892690
897.000000,-26.891566
896.000000,-26.889754
886.000000,-26.886677
866.000000,-26.885212
838.000000,-26.884590
806.000000,-26.883121
773.000000,-26.880864
740.000000,-26.877880
707.000000,-26.877238
677.000000,-26.876084
651.000000,-26.875141
629.000000,-26.874124
612.000000,-26.873688
598.000000,-26.873185
587.000000,-26.873030
579.000000,-26.873281
575.000000,-26.872813
574.000000,-26.872125
577.000000,-26.872040
584.000000,-26.871803
597.000000,-26.871217
616.000000,-26.870946
642.000000,-26.870883
676.000000,-26.870696
716.000000,-26.870585
760.000000,-26.870329
807.000000,-26.870154
851.000000,-26.869991
891.000000,-26.869630
921.000000,-26.869089
938.000000,-26.868580
940.000000,-26.866782
926.000000,-26.863995
894.000000,-26.862273
847.000000,-26.860589
791.000000,-26.856928
730.000000,-26.852420
672.000000,-26.848556
623.000000,-26.845885
588.000000,-26.844571
572.000000,-26.843274
573.000000,-26.842501
589.000000,-26.842239
613.000000,-26.841981
638.000000,-26.841866
658.000000,-26.841880
668.000000,-26.841742
667.000000,-26.840788
654.000000,-26.839732
634.000000,-26.838459
610.000000,-26.836135
588.000000,-26.833918
572.000000,-26.832383
565.000000,-26.831390
570.000000,-26.831032
583.000000,-26.831376
601.000000,-26.831664
621.000000,-26.831470
